group,subject,trial,choice,reward,Q1,Q2,pA
1,1,1,1,1,0,0,0.5
1,1,2,1,0,0.4,0,0.689974481127613
1,1,3,1,0,0.24,0,0.617747874769249
1,1,4,2,0,0.144,0,0.571506429467556
1,1,5,2,1,0.0864,0,0.543092824588691
1,1,6,1,1,0.05184,0.4,0.332628635584277
1,1,7,2,0,0.431104,0.24,0.594405535111573
1,1,8,2,0,0.2586624,0.144,0.557081261009759
1,1,9,2,0,0.15519744,0.0864,0.53434455183068
1,1,10,1,0,0.093118464,0.05184,0.520627517508579
1,1,11,2,1,0.0558710784,0.031104,0.512381007766403
1,1,12,2,1,0.03352264704,0.4186624,0.316418646621954
1,1,13,2,0,0.020113588224,0.65119744,0.220600959837917
1,1,14,1,1,0.0120681529344,0.390718464,0.319232617049776
1,1,15,2,0,0.40724089176064,0.2344310784,0.585554948326671
1,1,16,1,1,0.244344535056384,0.14065864704,0.551657955732348
1,1,17,1,1,0.54660672103383,0.084395188224,0.715942477955447
1,1,18,2,0,0.727964032620298,0.0506371129344,0.794889432565898
1,1,19,2,1,0.436778419572179,0.03038226776064,0.692704207875824
1,1,20,2,0,0.262067051743307,0.418229360656384,0.42254742767596
1,1,21,2,0,0.157240231045984,0.25093761639383,0.45328792560103
1,1,22,2,0,0.0943441386275907,0.150562569836298,0.47192036017751
1,1,23,2,0,0.0566064831765544,0.0903375419017789,0.483140864172586
1,1,24,1,1,0.0339638899059326,0.0542025251410674,0.489882063788215
1,1,25,2,0,0.42037833394356,0.0325215150846404,0.684755570307396
1,1,26,1,0,0.252227000366136,0.0195129090507842,0.61430109930318
1,1,27,1,1,0.151336200219681,0.0117077454304705,0.569364036015451
1,1,28,1,1,0.490801720131809,0.00702464725828233,0.724631718823891
1,1,29,1,1,0.694481032079085,0.0042147883549694,0.799076506451521
1,1,30,1,1,0.816688619247451,0.00252887301298164,0.835939296019097
1,1,31,2,1,0.890013171548471,0.00151732380778898,0.855325003622188
1,1,32,1,1,0.534007902929082,0.400910394284673,0.566158549855388
1,1,33,1,1,0.72040474175745,0.240546236570804,0.723065142309116
1,1,34,1,0,0.83224284505447,0.144327741942482,0.798320478108892
1,1,35,1,0,0.499345707032682,0.0865966451654894,0.695402191181336
1,1,36,1,0,0.299607424219609,0.0519579870992937,0.621353914848173
1,1,37,1,1,0.179764454531765,0.0311747922595762,0.573752834891067
1,1,38,1,0,0.507858672719059,0.0187048753557457,0.726772277101045
1,1,39,2,0,0.304715203631436,0.0112229252134474,0.642672964298408
1,1,40,2,0,0.182829122178861,0.00673375512806846,0.587148725229479
1,1,41,1,0,0.109697473307317,0.00404025307684107,0.55263290083437
1,1,42,1,1,0.0658184839843901,0.00242415184610464,0.531654772256911
1,1,43,2,1,0.439491090390634,0.00145449110766279,0.706007830999116
1,1,44,2,1,0.26369465423438,0.400872694664598,0.431837997681232
1,1,45,1,1,0.158216792540628,0.640523616798759,0.275955417128312
1,1,46,1,1,0.494930075524377,0.384314170079255,0.555083470887676
1,1,47,1,0,0.696958045314626,0.230588502047553,0.717630656204545
